"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameReleaseComparatorExactYear record1Value","[0] GameReleaseComparatorExactYear record2Value","[0] GameReleaseComparatorExactYear record1PreprocessedValue","[0] GameReleaseComparatorExactYear record2PreprocessedValue","[0] GameReleaseComparatorExactYear similarity","[0] GameReleaseComparatorExactYear postproccesedSimilarity","[1] GameNameComparatorLowerCaseJaccard record1Value","[1] GameNameComparatorLowerCaseJaccard record2Value","[1] GameNameComparatorLowerCaseJaccard record1PreprocessedValue","[1] GameNameComparatorLowerCaseJaccard record2PreprocessedValue","[1] GameNameComparatorLowerCaseJaccard similarity","[1] GameNameComparatorLowerCaseJaccard postproccesedSimilarity","[2] GameGenreComparatorMongeElkan record1Value","[2] GameGenreComparatorMongeElkan record2Value","[2] GameGenreComparatorMongeElkan record1PreprocessedValue","[2] GameGenreComparatorMongeElkan record2PreprocessedValue","[2] GameGenreComparatorMongeElkan similarity","[2] GameGenreComparatorMongeElkan postproccesedSimilarity"
"LinearCombinationMatchingRule","DBpedia_Video_Game_8737","Kaggle1_Video_Game_869","0.0",,"2011-01-18T00:00","2014-01-01T00:00","2011-01-18T00:00","2014-01-01T00:00","0.0","0.0","mindjack","minecraft","mindjack","minecraft","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_5204","Kaggle1_Video_Game_7309","0.2",,"2009-08-05T00:00","2009-01-01T00:00","2009-08-05T00:00","2009-01-01T00:00","1.0","1.0","teenage mutant ninja turtles: turtles in time re-shelled","teenage mutant ninja turtles: smash-up","teenage mutant ninja turtles: turtles in time re-shelled","teenage mutant ninja turtles: smash-up","0.4","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_4374","Kaggle1_Video_Game_637","0.8",,"2003-12-16T00:00","2003-01-01T00:00","2003-12-16T00:00","2003-01-01T00:00","1.0","1.0","the sims bustin' out","the sims: bustin' out","the sims bustin' out","the sims: bustin' out","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_7675","Kaggle1_Video_Game_2161","0.0",,"2010-04-13T00:00","2005-01-01T00:00","2010-04-13T00:00","2005-01-01T00:00","0.0","0.0","tom clancy's splinter cell: conviction","tom clancy's splinter cell: chaos theory","tom clancy's splinter cell: conviction","tom clancy's splinter cell: chaos theory","0.625","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_6755","Kaggle1_Video_Game_1736","0.8",,"2003-11-11T00:00","2003-01-01T00:00","2003-11-11T00:00","2003-01-01T00:00","1.0","1.0","medal of honor: rising sun","medal of honor: rising sun","medal of honor: rising sun","medal of honor: rising sun","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_8265","Kaggle1_Video_Game_6368","0.0",,"2008-08-07T00:00","2010-01-01T00:00","2008-08-07T00:00","2010-01-01T00:00","0.0","0.0","fire emblem: shadow dragon","fire emblem: shin monshou no nazo hikari to kage no eiyuu","fire emblem: shadow dragon","fire emblem: shin monshou no nazo hikari to kage no eiyuu","0.16666666666666666","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_8646","Kaggle1_Video_Game_6200","0.0",,"2014-10-20T00:00","2010-01-01T00:00","2014-10-20T00:00","2010-01-01T00:00","0.0","0.0","monster strike","monopoly streets","monster strike","monopoly streets","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_8001","Kaggle1_Video_Game_1334","0.1",,"2003-07-16T00:00","2002-01-01T00:00","2003-07-16T00:00","2002-01-01T00:00","0.5","0.5","ncaa football 2004","ncaa football 2003","ncaa football 2004","ncaa football 2003","0.5","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_978","Kaggle1_Video_Game_5778","0.8",,"2008-11-13T00:00","2008-01-01T00:00","2008-11-13T00:00","2008-01-01T00:00","1.0","1.0","shaun white snowboarding","shaun white snowboarding","shaun white snowboarding","shaun white snowboarding","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_3386","Kaggle1_Video_Game_14995","0.0",,"2004-11-04T00:00","2016-01-01T00:00","2004-11-04T00:00","2016-01-01T00:00","0.0","0.0","the legend of zelda: the minish cap","the legend of heroes: trails in the sky third chapter","the legend of zelda: the minish cap","the legend of heroes: trails in the sky third chapter","0.25","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_3353","Kaggle1_Video_Game_7595","0.1",,"2007-08-14T00:00","2008-01-01T00:00","2007-08-14T00:00","2008-01-01T00:00","0.5","0.5","high school musical: makin' the cut!","high school musical 3: senior year dance!","high school musical: makin' the cut!","high school musical 3: senior year dance!","0.3","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_931","Kaggle1_Video_Game_12435","0.0",,"2006-12-14T00:00","2012-01-01T00:00","2006-12-14T00:00","2012-01-01T00:00","0.0","0.0","earth defense force 2017","earth defense force 2017 portable","earth defense force 2017","earth defense force 2017 portable","0.8","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_9143","Kaggle1_Video_Game_10497","0.8",,"2011-08-02T00:00","2011-01-01T00:00","2011-08-02T00:00","2011-01-01T00:00","1.0","1.0","sesame street: ready, set, grover!","sesame street: ready, set, grover!","sesame street: ready, set, grover!","sesame street: ready, set, grover!","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_4009","Kaggle1_Video_Game_11456","0.0",,"2018-07-26T00:00","2006-01-01T00:00","2018-07-26T00:00","2006-01-01T00:00","0.0","0.0","the king of fighters all star","the king of fighters 2006","the king of fighters all star","the king of fighters 2006","0.5714285714285714","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_693","Kaggle1_Video_Game_3535","0.0",,"2006-04-27T00:00","2011-01-01T00:00","2006-04-27T00:00","2011-01-01T00:00","0.0","0.0","pro evolution soccer 6","pro evolution soccer 2012","pro evolution soccer 6","pro evolution soccer 2012","0.6","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_8724","Kaggle1_Video_Game_15786","0.0",,"2006-07-13T00:00","2014-01-01T00:00","2006-07-13T00:00","2014-01-01T00:00","0.0","0.0","rotohex","robotics;notes","rotohex","robotics;notes","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","DBpedia_Video_Game_6154","Kaggle1_Video_Game_4548","0.0",,"2007-06-28T00:00","1997-01-01T00:00","2007-06-28T00:00","1997-01-01T00:00","0.0","0.0","neon genesis evangelion: battle orchestra","neon genesis evangelion 2nd impression","neon genesis evangelion: battle orchestra","neon genesis evangelion 2nd impression","0.375","0.0","","","","","0.0","0.0"
